Component,File,Line,Element,Label,Destination,RouteStatus,Priority,RouteHealth
global-error,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/app/global-error.tsx,25,button,[Empty],Handler: {() => reset()},Action,Medium,Action
not-found,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/app/not-found.tsx,21,Link,[Empty],/,Valid,Low,OK
ArchitectureCanvas,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,171,button,[Icon/Image],Handler: {onDownloadPng},Action,Medium,Action
ArchitectureCanvas,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,174,button,[Icon/Image],Handler: {onDownloadSvg},Action,Medium,Action
ArchitectureCanvas,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,172,ImageIcon,[ImageIcon],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,233,button,[Icon/Image],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,241,button,[Empty],Handler: {() => setStep("login")},Action,Medium,Action
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,407,button,{dynamic},,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,512,button,[Icon/Image],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,257,CreditCard,[CreditCard],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,317,CreditCard,[CreditCard],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,574,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,607,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,640,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,661,button,[Icon/Image],Handler: {() => {               setActiveSandbox(null);               setMatchAudited(false);               setMatchResult(null);               setQuizStep(0);               setQuizAnswers({});               setReadinessStep(0);               setReadinessAnswers({});               setSupportOutput(null);               setRagAnswer("");               setRagSteps([]);               setHrCandidates([]);             }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,692,button,[Empty],Handler: {() => addFlowNode("Trigger"  "Webhook API Received"  "var(--hive-orange)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,693,button,[Empty],Handler: {() => addFlowNode("AI Node"  "Sentiment Router"  "var(--neural-blue)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,694,button,[Empty],Handler: {() => addFlowNode("Action"  "Slack Alerts Node"  "var(--violet)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,695,button,[Empty],Handler: {clearFlowCanvas},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,701,button,{dynamic},Handler: {runFlowSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,757,button,{dynamic},Handler: {runAgentSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,822,button,[Empty],Handler: {() => setQuizStep(1)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,836,button,[Empty],Handler: {() => {                             setQuizAnswers(prev => ({ ...prev  [question.id]: opt.key }));                             if (quizStep < 3) {                               setQuizStep(quizStep + 1);                             } else {                               submitQuizAnswers();                             }                           }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,883,button,[Empty],Handler: {handleDownloadCert},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,886,button,[Empty],Handler: {() => setQuizStep(0)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,898,button,[Empty],Handler: {() => { setQuizStep(0); setQuizAnswers({}); }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,948,button,[Empty],Handler: {() => auditAction(row.id  "approve")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,949,button,[Empty],Handler: {() => auditAction(row.id  "flag")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,983,button,[Empty],Handler: {() => setReadinessStep(1)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,996,button,[Empty],Handler: {() => {                             setReadinessAnswers(prev => ({ ...prev  [question.id]: opt.score }));                             if (readinessStep < 4) {                               setReadinessStep(readinessStep + 1);                             } else {                               setReadinessStep(5);                             }                           }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1032,button,[Empty],Handler: {downloadReadinessReport},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1035,button,[Empty],Handler: {() => { setReadinessStep(0); setReadinessAnswers({}); }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1116,button,{dynamic},Handler: {() => setSupportText(t.text)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1130,button,{dynamic},Handler: {runSupportSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1184,button,[Empty],Handler: {() => setRagQuery("What are the database backup rules?")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1185,button,[Empty],Handler: {() => setRagQuery("What encryption protocols govern API nodes?")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1186,button,[Empty],Handler: {() => setRagQuery("Who maintains access keys for production storage?")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1189,button,{dynamic},Handler: {runRagSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1243,button,{dynamic},Handler: {runHrSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1266,button,[Empty],Handler: {() => hrAction(c.name  "Shortlisted")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1267,button,[Empty],Handler: {() => hrAction(c.name  "Rejected")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1331,button,[Empty],Handler: {runMatchAudit},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1340,button,[Empty],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,566,Icon,[Icon],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,599,Icon,[Icon],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,632,Icon,[Icon],,Missing,High,Unknown
CaseStudiesPreview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/CaseStudiesPreview.tsx,63,Link,[Empty],/case-studies,Valid,Low,OK
CaseStudiesPreview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/CaseStudiesPreview.tsx,150,Link,[Icon/Image],[Dynamic: cs.href],Valid,Low,Unknown
FinalCTA,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/FinalCTA.tsx,103,Link,{dynamic},/contact,Valid,Low,OK
FinalCTA,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/FinalCTA.tsx,107,Link,{dynamic},/tools/ai-readiness,Valid,Low,OK
HeroSection,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/HeroSection.tsx,141,Link,{dynamic},/contact,Valid,Low,OK
HeroSection,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/HeroSection.tsx,144,Link,{dynamic},/solutions,Valid,Low,OK
ServicesOverview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/ServicesOverview.tsx,160,Link,{dynamic} {dynamic},[Dynamic: service.href],Valid,Low,Unknown
ServicesOverview,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/ServicesOverview.tsx,136,Icon,[Icon],,Missing,High,Unknown
SolutionRecommenderTeaser,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionRecommenderTeaser.tsx,66,button,{dynamic},Handler: {() => handleSelect(i)},Action,Medium,Action
SolutionRecommenderTeaser,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionRecommenderTeaser.tsx,111,button,[Icon/Image],Handler: {() => router.push("/tools/solution-finder")},Action,Medium,Action
SolutionsGrid,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionsGrid.tsx,169,Link,{dynamic},[Dynamic: sol.href],Valid,Low,Unknown
SolutionsGrid,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionsGrid.tsx,193,Link,{dynamic},/solutions,Valid,Low,OK
SolutionsGrid,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/home/SolutionsGrid.tsx,126,Icon,[Icon],,Missing,High,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,216,Link,[Icon/Image],/products,Valid,Low,OK
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,233,Link,[Icon/Image],[Dynamic: res.link],Valid,Low,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,254,Link,[Icon/Image],[Dynamic: `/industries/${rel}`],Valid,Low,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,293,Button,[Empty],,Missing,High,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,294,Button,[Empty],,Missing,High,Unknown
IndustryDetailView,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryDetailView.tsx,69,Icon,[Icon],,Missing,High,Unknown
IndustryPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryPageLayout.tsx,21,Link,{dynamic} {dynamic},[Dynamic: `/industries/${s.slug}`],Valid,Low,Unknown
IndustryPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/IndustryPageLayout.tsx,85,button,{dynamic},,Missing,High,Unknown
InteractiveIndustryExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryExplorer.tsx,64,button,[Icon/Image],Handler: {() => toggleCategory(cat)},Action,Medium,Action
InteractiveIndustryExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryExplorer.tsx,86,Link,{dynamic},[Dynamic: `/industries/${ind.slug}`],Valid,Low,Unknown
InteractiveIndustryExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryExplorer.tsx,140,Link,[Empty],[Dynamic: `/industries/${ind.slug}`],Valid,Low,Unknown
InteractiveIndustryGlobe,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryGlobe.tsx,174,motion.div,{dynamic} {dynamic},Handler: {() => {                 // All 15 industries are now fully built engines  navigate directly to them                 router.push(`/industries/${node.slug}`);               }},Action,Medium,Action
InteractiveIndustryGlobe,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/industries/InteractiveIndustryGlobe.tsx,200,Icon,[Icon],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,170,motion.button,[Icon/Image],Handler: {() => setIsOpen(true)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,225,button,[Icon/Image],Handler: {() => setIsOpen(false)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,239,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,329,button,{dynamic},,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,344,button,{dynamic},Handler: {() => handleSend(prompt.text)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,375,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,376,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,377,button,[Icon/Image],,Missing,High,Unknown
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,379,button,[Icon/Image],Handler: {() => handleSend(input)},Action,Medium,Action
CerebroChat,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,402,button,{dynamic} {dynamic},Handler: {() => setActiveTab(tab.id as any)},Action,Medium,Action
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,263,Link,{dynamic},[Dynamic: link.href],Valid,Low,Unknown
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,275,button,{dynamic},Handler: {() => setOpenAccordion(openAccordion === category ? null : category)},Action,Medium,Action
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,287,Link,{dynamic},[Dynamic: link.href],Valid,Low,Unknown
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,319,a,[Icon/Image],[Dynamic: social.href],Valid,Low,Unknown
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,398,Link,[Icon/Image],/,Valid,Low,OK
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,417,Link,[Empty],/legal/privacy,Valid,Low,OK
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,418,Link,[Empty],/legal/security,Valid,Low,OK
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,419,Link,[Empty],/legal/terms,Valid,Low,OK
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,420,Link,[Empty],/legal/ai-ethics,Valid,Low,OK
Footer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Footer.tsx,421,Link,[Empty],/sitemap.xml,Valid,Low,Broken (404)
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,48,Link,[Icon/Image],/,Valid,Low,OK
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,59,Link,{dynamic},[Dynamic: link.href],Valid,Low,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,74,Link,[Empty],/contact,Valid,Low,OK
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,75,AnimatedButton,[Empty],,Missing,High,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,82,button,[Icon/Image],Handler: {() => setIsMobileMenuOpen(true)},Action,Medium,Action
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,110,button,[Icon/Image],Handler: {() => setIsMobileMenuOpen(false)},Action,Medium,Action
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,120,Link,{dynamic},[Dynamic: link.href],Valid,Low,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,135,AnimatedButton,[Empty],,Missing,High,Unknown
Navbar,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,95,motion.div,[motion.div],Handler: {() => setIsMobileMenuOpen(false)},Action,Medium,Action
FrameworkExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/FrameworkExplorer.tsx,39,button,[Empty],Handler: {() => setActiveSlug(fw.slug)},Action,Medium,Action
FrameworkExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/FrameworkExplorer.tsx,79,Link,[Icon/Image],[Dynamic: `/products/${activeFramework.slug}`],Valid,Low,Unknown
FrameworkExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/FrameworkExplorer.tsx,160,Link,[Icon/Image],[Dynamic: `/products/${activeFramework.slug}`],Valid,Low,Unknown
HeroEcosystem,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/HeroEcosystem.tsx,58,button,[Empty],,Missing,High,Unknown
HeroEcosystem,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/HeroEcosystem.tsx,61,button,[Empty],,Missing,High,Unknown
ProductComparisonCard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/ProductComparisonCard.tsx,53,button,{dynamic},Handler: {() => setActiveCompetitorIdx(idx)},Action,Medium,Action
ProductPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/ProductPageLayout.tsx,47,button,{dynamic},,Missing,High,Unknown
ProductPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/ProductPageLayout.tsx,85,ProductComparisonCard,[ProductComparisonCard],,Missing,High,Unknown
SoftwarePlatformsBento,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/SoftwarePlatformsBento.tsx,43,Link,{dynamic} {dynamic} {dynamic},[Dynamic: `/products/${platform.slug}`],Valid,Low,Unknown
SoftwarePlatformsBento,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/products/SoftwarePlatformsBento.tsx,56,Icon,[Icon],,Missing,High,Unknown
